p,cx,cy,cz
0,0.703789,-0.754807,0.0821795,0.650779
1,2.92318,-0.09964819999999999,0.304981,0.947131
2,0.43067700000000003,0.545175,-0.466826,0.696317
3,0.953644,0.5153449999999999,-0.5031680000000001,0.693716
4,0.938175,-0.365063,0.655453,0.661144
5,2.02305,0.357481,0.053204800000000003,0.9324040000000001
6,0.504151,-0.101351,-0.6321319999999999,0.768203
7,0.9631709999999999,0.478379,0.403079,0.78018
8,0.9401290000000001,-0.361729,-0.553459,0.750224
9,0.603165,0.16455,0.684751,0.709957
10,0.6187060000000001,0.612621,0.24243,0.752279
11,2.38504,0.373008,0.068695,0.9252819999999999
12,3.94044,-0.1614,-0.244957,0.9560049999999999
13,0.44558400000000004,0.46291899999999997,-0.512111,0.7234970000000001
14,0.8813049999999999,-0.46699700000000005,0.45682399999999995,0.757117
15,3.2696400000000003,-0.376418,0.0563654,0.9247340000000001
16,0.7937270000000001,0.0507263,0.592544,0.8039390000000001
17,4.021809999999999,-0.272403,0.0219503,0.961933
18,0.7478130000000001,-0.516836,-0.133116,0.845672
19,0.94068,0.0942512,-0.58906,0.802574
20,0.825859,0.11166400000000001,-0.7280300000000001,0.676391
21,0.727427,-0.242993,-0.484436,0.8404020000000001
22,3.08881,0.14055299999999998,0.301784,0.942959
23,0.49339799999999995,-0.504676,0.542149,0.671846
24,0.41255200000000003,-0.84564,0.21551900000000002,0.488308
25,0.818357,0.275357,-0.44597700000000007,0.8516360000000001
26,0.9247770000000001,0.729495,0.0211583,0.683659
27,3.3680199999999996,0.274039,0.0397137,0.9608979999999999
28,0.7725029999999999,0.546033,-0.0545394,0.835987
29,3.1966200000000002,-0.168747,-0.226737,0.959226
30,0.7404350000000001,-0.39903,-0.528725,0.749149
31,3.13827,0.15317999999999998,0.243155,0.957816
32,2.926,0.283141,-0.0143512,0.9589709999999999
33,0.8942469999999999,0.288044,0.6463949999999999,0.706544
34,0.792122,-0.546532,-0.07852050000000001,0.833749
35,4.07576,0.23963299999999998,0.19291,0.9515049999999999
36,0.513135,-0.603888,-0.44822399999999996,0.659101
37,3.7212400000000003,-0.16491,-0.222097,0.9609770000000001
38,3.58492,0.14946600000000002,0.279289,0.9485030000000001
39,1.19189,0.496637,-0.14294300000000001,0.856107
40,2.47958,-0.171057,0.302213,0.937767
41,1.02319,-0.11424300000000001,0.558419,0.8216549999999999
42,0.494446,-0.43251000000000006,0.455031,0.778384
43,0.697905,-0.707759,-0.0627236,0.7036640000000001
44,2.8469599999999997,-0.11906099999999999,0.33962,0.932997
45,1.61655,0.158354,0.481318,0.862123
46,1.55424,0.0689494,-0.466587,0.881784
47,3.20438,0.326954,-0.0516474,0.943628
48,0.672343,-0.640141,0.14065,0.755273
49,0.729973,0.5421229999999999,-0.20328,0.81534
50,2.42899,0.392092,0.0153299,0.919798
51,3.0815599999999996,0.392598,-0.010917,0.919645
52,0.520702,-0.65228,-0.031076,0.7573409999999999
53,3.89132,-0.141812,0.207517,0.9678979999999999
54,3.59481,0.197913,-0.225771,0.953865
55,2.52212,-0.141377,0.272895,0.951599
56,2.62575,-0.30235700000000004,-0.0267551,0.9528190000000001
57,0.610065,-0.395577,0.553897,0.73261
58,1.04271,-0.60659,-0.11433499999999999,0.78675
59,0.904093,0.526381,0.10703800000000001,0.843484
60,0.8701399999999999,-0.608645,-0.00974128,0.793383
61,0.9915459999999999,-0.37453600000000004,0.306431,0.8751129999999999
62,0.835275,0.282458,0.48085500000000003,0.830058
63,0.673189,-0.185542,-0.618848,0.763283
64,1.25457,0.292988,0.372666,0.880499
65,0.747821,-0.384127,-0.43059,0.816724
66,4.08228,-0.15016,0.206823,0.9667870000000001
67,1.22566,0.273071,-0.615834,0.7390399999999999
68,2.26139,-0.522087,0.101189,0.8468680000000001
69,0.7091390000000001,-0.39468200000000003,0.529158,0.7511439999999999
70,1.50915,-0.518784,-0.048905800000000006,0.853505
71,0.315906,-0.315157,-0.739881,0.59435
72,2.2290400000000004,0.203515,0.318296,0.925889
73,1.1093600000000001,0.206533,-0.671199,0.711924
74,1.15899,0.546104,-0.045721,0.836469
75,0.924846,0.7329180000000001,-0.0745172,0.6762239999999999
76,0.467091,0.6718810000000001,0.5681510000000001,0.475163
77,1.1352799999999998,-0.444801,0.39992300000000003,0.801383
78,1.67203,-0.166113,-0.48793500000000006,0.856928
79,0.591176,-0.438722,-0.578823,0.687377
80,1.00021,-0.325151,-0.390179,0.861416
81,0.813995,0.07613660000000001,-0.596626,0.798899
82,3.9485,-0.27972600000000003,-0.014783500000000002,0.959966
83,1.0004,-0.497638,-0.178733,0.84877
84,0.6023470000000001,-0.22780300000000003,-0.567379,0.791319
85,1.07781,0.402972,-0.43153,0.807091
86,1.48604,0.46297299999999997,-0.424622,0.778044
87,1.7921799999999999,0.310029,-0.350976,0.8835709999999999
88,3.5854,-0.221216,0.264167,0.938765
89,2.44415,-0.301512,0.0114684,0.953393
90,1.43318,0.445032,-0.0646207,0.89318
91,1.09657,0.159519,0.625865,0.763444
92,1.04898,0.590633,-0.172263,0.788339
93,2.94112,-0.143761,0.269318,0.952261
94,1.0635,-0.5702149999999999,-0.043055300000000005,0.820367
95,0.734135,0.676288,0.160497,0.7189399999999999
96,1.10895,0.231434,0.42620600000000003,0.8745209999999999
97,0.548311,-0.481988,0.365744,0.79619
98,0.66062,0.203994,-0.7481140000000001,0.631436
99,3.6576800000000005,-0.100207,-0.263689,0.9593889999999999
100,2.42332,0.198817,-0.29481199999999996,0.934643
101,3.40591,0.314366,5.0501e-05,0.9493020000000001
102,1.3298299999999998,-0.355747,0.324704,0.8763629999999999
103,0.747717,0.283997,0.7328210000000001,0.61832
104,2.72942,0.341314,-0.06917410000000002,0.937401
105,0.613582,-0.395258,-0.5644,0.724723
106,0.534624,0.727534,0.128199,0.673987
107,0.410637,-0.629918,0.560191,0.53795
108,1.25332,0.181483,0.452425,0.873141
109,1.6847400000000001,-0.370868,-0.34144800000000003,0.8636379999999999
110,2.41078,-0.40028600000000003,0.0892444,0.912034
111,0.81517,0.566553,0.139606,0.812113
112,1.78702,0.0889803,-0.391442,0.915891
113,0.778038,-0.0698528,-0.6383949999999999,0.766532
114,0.6471560000000001,-0.36139099999999996,0.485255,0.796194
115,0.375224,-0.124955,-0.867442,0.481592
116,0.5509850000000001,0.38917399999999996,0.535836,0.749282
117,3.0400400000000003,0.314865,0.021959400000000004,0.948882
118,2.8573,-0.340778,0.000352039,0.9401440000000001
119,1.0404799999999998,-0.5594859999999999,0.172242,0.8107449999999999
120,1.91612,0.483033,-0.0391365,0.874727
121,2.8059,0.197414,0.282654,0.938688
122,0.610798,-0.735992,-0.201176,0.646409
123,1.69173,-0.433478,0.140156,0.8901979999999999
124,0.411706,-0.8734620000000001,0.23770100000000002,0.42492700000000005
125,4.071680000000001,0.13676,-0.214178,0.967174
126,1.8658700000000001,0.341251,-0.0211344,0.939735
127,0.763093,0.557479,-0.238477,0.7952020000000001
128,3.3048599999999997,0.323689,0.0761596,0.9430930000000001
129,2.60085,-0.166213,-0.241004,0.9561850000000001
130,0.802445,-0.22682399999999997,0.6080479999999999,0.760808
131,2.90564,-0.225784,0.290152,0.9299639999999999
132,1.30112,-0.271755,-0.381281,0.8836139999999999
133,0.39932,-0.47166800000000003,-0.731224,0.49278900000000003
134,0.782515,-0.521651,0.533561,0.665728
135,2.99385,-0.46838500000000005,-0.027300900000000003,0.883102
136,0.737383,0.573646,-0.13655599999999998,0.8076399999999999
137,0.9965430000000001,0.613851,-0.0264408,0.788979
138,1.17526,-0.107929,-0.47631899999999994,0.872624
139,3.69907,0.175817,0.208846,0.9620139999999999
140,2.05098,-0.22675599999999999,0.264209,0.9374299999999999
141,2.99075,-0.22139499999999998,0.289435,0.931242
142,2.08961,0.252498,0.33315100000000003,0.908436
143,1.34982,-0.136433,-0.667981,0.7315649999999999
144,3.15246,-0.205073,-0.302505,0.930825
145,1.42662,-0.110009,-0.421638,0.900066
146,0.823976,-0.56267,0.17705,0.8075
147,1.3516299999999999,0.167321,-0.371786,0.913115
148,1.80794,0.287082,0.360975,0.887289
149,3.62914,0.176401,0.227343,0.9577040000000001
150,3.95338,-0.140216,0.243416,0.959733
151,1.2712700000000001,0.40720500000000004,-0.034477499999999994,0.9126860000000001
152,3.50545,0.269485,-0.00110797,0.9630040000000001
153,0.362214,0.157573,0.816141,0.5559529999999999
154,0.40827199999999997,0.522031,0.676559,0.5193760000000001
155,0.726287,0.131287,-0.6011449999999999,0.7882819999999999
156,1.06192,-0.630371,-0.166535,0.758221
157,3.63889,-0.347411,0.020659200000000003,0.937485
158,1.2794299999999998,-0.22266100000000003,-0.376932,0.8990799999999999
159,1.9344700000000001,-0.431672,-0.0422488,0.901041
160,3.34732,-0.33924499999999996,-0.0866782,0.9366959999999999
161,0.760617,-0.289954,0.771333,0.5665439999999999
162,1.24013,0.184693,-0.413521,0.8915649999999999
163,0.788139,-0.66661,-0.0253273,0.744977
164,1.12399,-0.281252,-0.399597,0.8724790000000001
165,4.12673,0.122748,0.224556,0.966699
166,0.612672,0.6308739999999999,-0.0178622,0.775679
167,0.8186,-0.126815,0.609492,0.7825840000000001
168,4.056369999999999,0.161306,0.20681300000000002,0.964992
169,2.36864,0.393351,-0.0418267,0.9184370000000001
170,0.858698,-0.692338,0.258461,0.673696
171,0.762264,-0.605356,-0.124319,0.7861859999999999
172,2.07198,-0.19914500000000002,-0.365331,0.909326
173,3.21632,0.155445,-0.31764699999999996,0.9353809999999999
174,1.3486,-0.345868,0.555672,0.756045
175,2.70578,-0.230807,0.246302,0.9413100000000001
176,1.63376,0.270667,-0.428046,0.862274
177,0.789064,0.565288,0.12578599999999998,0.815247
178,0.9609340000000001,-0.276372,-0.449399,0.849505
179,0.979669,0.614171,0.0830125,0.784795
180,2.92665,-0.19196,-0.233658,0.953182
181,3.88786,-0.30087800000000003,0.000543492,0.9536629999999999
182,2.85131,-0.169148,-0.363728,0.916019
183,2.93414,-0.160255,-0.31808800000000004,0.934419
184,3.62828,-0.263291,0.0158604,0.964586
185,1.005,-0.485683,-0.06912180000000001,0.871398
186,1.7855900000000002,-0.178674,-0.540446,0.8221879999999999
187,0.862218,-0.370874,-0.335978,0.865778
188,1.07466,0.468105,0.367927,0.803434
189,2.51957,-0.154162,0.30307,0.940416
190,4.14665,0.11111800000000001,0.227086,0.967515
191,2.5535400000000004,0.30823,-0.0298824,0.950842
192,0.540385,-0.645438,-0.181221,0.742003
193,0.931852,0.516943,0.00792789,0.8559829999999999
194,3.5040699999999996,-0.276254,0.019112999999999998,0.960895
195,0.8635510000000001,-0.316294,0.548446,0.774058
196,0.552979,0.7947420000000001,0.0899071,0.600251
